   1,   0,   0,  94,  80,  66
 226, 225,   0,  28,  23,  25
  53,  52,   0, 209, 215, 243
 797, 796,   0,  13,   9,  31
 142, 141,   0,  92,  90, 130
 130, 129,   0, 166, 163, 210
 432, 431,   0,  10,  14,  29
 826, 825,   0,  13,  10,  25
 217, 216,   0,  36,  27,  38
 314, 313,   0,  18,  15,  30
  18,  17,   0,  83,  71,  71
 726, 725,   0,   6,   3,  18
 889, 888,   0,  18,  15,  30
  86,  85,   0, 167, 158, 209
  63,  62,   0, 194, 204, 249
 315, 314,   0,  18,  15,  30
  13,  12,   0,  90,  76,  62
